,Row Labels,B0,F0,S0,U0,B10,F10,S10,U10,B20,F20,S20,U20,B30,F30,S30,U30,B40,F40,S40,U40,B50,F50,S50,U50,B60,F60,S60,U60,B70,F70,S70,U70,B80,F80,S80,U80,B90,F90,S90,U90,B100,F100,S100,U100
3,39,18.18181818,45.45454545,50,7.894736842,50,0,0,0,0,100,0,0,100,66.66666667,100,0,66.66666667,0,50,0,50,66.66666667,33.33333333,0,0,66.66666667,75,0,100,100,33.33333333,0,50,75,25,0,75,100,100,0,80,100,70,100
3,40,0,0,0,0,50,100,0,0,0,0,0,0,0,50,0,0,0,60,60,9.090909091,0,50,40,0,60,70,50,0,28.57142857,80,42.85714286,0,0,75,42.85714286,0,62.5,25,60,100,50,66.66666667,66.66666667,0
3,43,0,0,0,0,0,20,0,7.692307692,0,66.66666667,0,0,0,0,0,0,0,0,0,0,66.66666667,0,100,0,33.33333333,40,0,0,25,33.33333333,0,0,0,33.33333333,20,100,0,70,42.85714286,0,11.11111111,87.5,87.5,0
3,44,0,100,0,0,0,100,100,0,0,66.66666667,100,0,0,75,100,0,28.57142857,75,40,33.33333333,33.33333333,75,62.5,25,0,100,0,0,37.5,100,75,0,50,83.33333333,62.5,0,0,66.66666667,85.71428571,0,0,66.66666667,100,0
3,46,100,0,100,40,60,100,100,35.29411765,0,0,0,50,0,100,100,75,0,100,0,66.66666667,100,80,100,100,0,0,0,0,0,0,0,0,0,100,100,0,33.33333333,100,0,0,74.07407407,96.15384615,92.85714286,0
3,48,0,0,0,0,0,0,25,0,14.28571429,12.5,0,0,25,0,25,0,33.33333333,33.33333333,50,33.33333333,40,70,40,40,66.66666667,80,44.44444444,0,0,0,100,0,14.28571429,0,0,0,100,100,0,0,0,33.33333333,100,0
3,49,0,0,50,9.523809524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,50,0,50,33.33333333,100,0,34.48275862,67.85714286,71.42857143,0
3,50,0,0,0,0,0,0,100,0,0,0,0,11.11111111,0,100,100,0,100,0,0,16.66666667,0,50,0,0,33.33333333,0,100,0,20,66.66666667,75,50,8.333333333,40,44.44444444,0,16.66666667,70,66.66666667,0,55.55555556,66.66666667,71.42857143,0
3,51,33.33333333,33.33333333,100,0,33.33333333,75,20,11.11111111,16.66666667,85.71428571,66.66666667,50,0,100,83.33333333,16.66666667,66.66666667,60,80,0,0,100,0,100,0,100,66.66666667,0,0,0,0,0,0,100,33.33333333,0,50,60,100,50,25,75,66.66666667,100
3,52,0,0,0,5.263157895,0,33.33333333,33.33333333,7.142857143,0,80,50,0,0,33.33333333,40,0,0,66.66666667,25,0,0,25,50,0,40,100,33.33333333,0,20,50,50,0,0,75,50,0,100,100,70,0,33.33333333,100,100,100
3,54,0,0,0,0,0,0,0,0,0,16.66666667,0,0,0,40,33.33333333,0,0,0,0,0,0,100,0,0,0,50,33.33333333,0,0,0,0,0,33.33333333,42.85714286,38.46153846,0,0,100,75,0,25,80,70,0
3,55,0,0,0,0,100,100,100,0,33.33333333,50,0,0,14.28571429,50,0,0,0,37.5,0,50,0,66.66666667,0,0,0,75,20,25,0,57.14285714,40,0,50,75,33.33333333,0,33.33333333,50,33.33333333,0,20,100,57.14285714,0
3,56,0,0,0,20,66.66666667,100,0,16.66666667,33.33333333,0,0,12.5,0,0,0,0,0,0,0,0,0,100,100,0,50,0,0,0,0,100,0,0,100,50,66.66666667,0,64.28571429,87.5,80,0,80,93.75,96.66666667,0
3,57,0,100,0,0,0,16.66666667,33.33333333,10.71428571,100,100,0,20,57.14285714,50,0,0,22.22222222,71.42857143,75,0,75,75,100,0,60,66.66666667,100,0,33.33333333,100,100,0,25,100,50,0,20,75,100,0,0,100,92.85714286,0
3,58,0,100,0,0,100,0,0,20,0,100,100,6.666666667,0,100,0,33.33333333,66.66666667,0,0,0,50,100,66.66666667,25,100,0,0,0,0,100,100,0,100,100,100,0,0,0,100,0,73.07692308,86.95652174,68,0
3,59,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,6.666666667,0,0,0,0,0,50,33.33333333,0,0,0,0,0,0,100,100,0,29.41176471,81.81818182,50,50,15.38461538,83.33333333,64.70588235,0,0,100,50,0
3,60,25,0,0,0,0,75,0,20,0,0,0,33.33333333,0,50,0,0,0,100,0,0,29.41176471,90.90909091,83.33333333,0,66.66666667,100,0,0,0,100,50,0,100,100,100,0,0,100,50,0,16.66666667,77.77777778,71.42857143,0
3,61,0,0,0,0,60,50,66.66666667,12.5,11.11111111,57.14285714,80,21.05263158,0,100,0,25,0,0,0,50,100,100,66.66666667,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,63.15789474,84,70.37037037,0
3,62,0,0,0,0,0,0,100,50,100,100,80,21.42857143,50,50,50,33.33333333,66.66666667,100,75,0,0,100,100,0,0,100,100,0,0,100,100,0,25,88.88888889,0,0,33.33333333,85.71428571,80,0,44.44444444,87.5,85.71428571,0
3,63,0,100,0,0,0,50,0,0,0,0,100,0,0,0,0,0,0,60,0,0,50,100,80,50,30,83.33333333,75,0,80,87.5,87.5,0,42.85714286,71.42857143,87.5,100,33.33333333,100,85.71428571,0,0,0,0,0
3,64,0,0,0,33.33333333,0,0,0,0,100,33.33333333,0,0,0,100,0,0,0,0,0,0,0,100,0,0,0,100,60,0,50,0,100,0,0,66.66666667,0,0,20,52.38095238,38.46153846,0,50,100,33.33333333,0
3,65,0,0,100,14.28571429,66.66666667,100,33.33333333,60,0,100,0,0,40,71.42857143,33.33333333,40,100,100,0,100,60,87.5,66.66666667,66.66666667,75,50,66.66666667,0,0,0,0,0,100,75,88.88888889,0,0,0,0,0,66.66666667,80,100,0
3,66,0,0,0,0,25,0,50,0,60,33.33333333,50,50,33.33333333,100,37.5,9.090909091,100,100,0,0,0,66.66666667,100,33.33333333,60,66.66666667,100,0,0,100,50,0,20,50,66.66666667,0,50,100,75,0,28.57142857,50,50,0
3,67,100,0,0,0,33.33333333,0,100,9.090909091,33.33333333,100,66.66666667,0,66.66666667,83.33333333,100,0,25,66.66666667,33.33333333,100,0,50,100,0,0,83.33333333,40,0,100,100,0,0,33.33333333,33.33333333,33.33333333,0,0,50,0,0,44.44444444,71.42857143,77.77777778,0
3,68,0,0,0,0,0,20,12.5,0,0,0,0,0,0,0,50,0,0,0,25,0,0,0,0,0,0,0,0,25,0,14.28571429,0,0,0,0,40,0,0,0,0,0,0,0,33.33333333,0
3,69,0,10,0,0,0,0,0,0,0,100,0,33.33333333,100,0,0,0,25,0,0,0,16.66666667,100,60,16.66666667,66.66666667,40,25,0,40,100,33.33333333,0,100,75,50,0,33.33333333,75,40,0,0,66.66666667,66.66666667,0
3,70,0,0,0,0,0,75,100,21.05263158,0,100,100,33.33333333,100,0,50,0,0,0,0,0,0,0,0,0,100,50,33.33333333,0,66.66666667,100,66.66666667,66.66666667,60,50,33.33333333,0,58.33333333,71.42857143,100,0,46.15384615,75,76.47058824,0
3,71,0,100,0,0,50,100,50,0,0,0,0,16.66666667,0,0,100,25,0,100,0,14.28571429,0,100,100,40,100,66.66666667,40,0,28.57142857,100,60,0,42.85714286,20,100,100,16.66666667,50,100,0,27.27272727,84.21052632,69.23076923,0
4,114,0,0,0,0,0,33.33333333,20,0,0,28.57142857,20,0,0,50,0,0,0,0,0,0,0,33.33333333,0,0,0,0,0,0,25,40,66.66666667,0,10,66.66666667,20,0,25,66.66666667,77.77777778,0,100,100,100,0
4,115,0,0,0,0,0,0,0,20,0,0,100,50,100,0,0,33.33333333,66.66666667,0,0,25,50,100,100,60,100,50,100,100,50,100,83.33333333,100,85.71428571,83.33333333,75,50,71.42857143,84.61538462,88.88888889,0,66.66666667,77.77777778,100,0
4,116,0,100,0,0,16.66666667,100,0,10,40,33.33333333,37.5,0,0,50,0,0,0,100,80,0,0,100,0,0,0,100,0,0,0,0,0,0,0,0,100,0,50,100,0,0,11.11111111,30,35.29411765,0
4,117,0,0,100,0,0,0,0,0,0,0,0,0,0,100,0,25,50,50,100,0,0,100,80,0,25,100,66.66666667,0,22.22222222,100,66.66666667,0,0,75,57.14285714,0,100,0,0,0,26.66666667,76.47058824,55.55555556,8.333333333
4,118,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,100,33.33333333,0,0,50,0,0,0,0,12.5,0,20,50,28.57142857,30,80,48.38709677,0
4,119,50,100,60,0,0,0,50,0,100,33.33333333,0,20,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,100,28.57142857,70.96774194,75,32
4,120,0,0,66.66666667,0,33.33333333,75,100,47.61904762,100,100,0,0,0,50,100,0,25,0,50,0,75,100,100,0,0,100,100,0,0,100,100,0,25,50,71.42857143,0,57.14285714,100,0,0,40,83.33333333,43.75,50
4,121,0,66.66666667,50,23.07692308,80,80,50,0,0,50,0,0,100,100,100,0,0,100,0,0,0,0,0,0,100,0,0,0,100,100,0,100,66.66666667,100,100,66.66666667,50,100,66.66666667,50,63.15789474,94.73684211,88.88888889,50
4,122,0,66.66666667,0,27.27272727,50,0,0,25,0,50,0,28.57142857,0,0,0,0,0,0,0,0,0,83.33333333,100,42.85714286,0,0,0,0,0,0,0,0,100,100,100,75,100,50,75,0,67.85714286,83.33333333,86.66666667,0
4,123,18.18181818,33.33333333,28.57142857,0,0,50,33.33333333,0,0,0,0,0,0,0,0,0,0,33.33333333,100,0,0,0,0,0,25,0,75,0,0,50,0,0,0,33.33333333,0,0,0,71.42857143,25,100,0,28.57142857,40,0
4,124,12.5,0,25,0,0,66.66666667,66.66666667,11.11111111,16.66666667,80,50,0,0,50,0,0,33.33333333,83.33333333,50,0,20,75,57.14285714,0,25,100,50,0,25,50,33.33333333,0,50,75,66.66666667,0,0,50,0,0,0,100,100,0
4,125,0,0,0,20,0,100,100,25,0,100,33.33333333,0,100,100,50,0,0,50,0,25,0,83.33333333,50,0,33.33333333,100,100,50,20,66.66666667,80,0,33.33333333,100,100,16.66666667,60,100,85.71428571,50,28.57142857,66.66666667,60,100
4,126,0,50,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,52.5,78.37837838,78.94736842,28.57142857
4,127,0,100,100,50,66.66666667,100,66.66666667,33.33333333,66.66666667,33.33333333,0,0,0,50,100,0,0,100,100,50,0,100,100,100,50,0,0,100,60,100,100,66.66666667,50,100,50,50,66.66666667,75,80,33.33333333,56.25,100,82.35294118,50
4,128,0,100,100,0,0,0,0,0,0,0,0,0,0,33.33333333,50,25,25,100,50,0,28.57142857,40,0,11.11111111,12.5,22.22222222,75,0,0,33.33333333,60,0,30,77.77777778,33.33333333,0,0,80,80,0,0,100,66.66666667,0
4,129,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.66666667,0,25,0,100,0,0,0,0,0,0,50,0,0,50,33.33333333,80,66.66666667,0,48.38709677,96.2962963,86.48648649,31.81818182
4,130,0,0,0,0,0,100,0,11.76470588,0,0,0,16.66666667,0,0,0,0,50,50,0,60,100,50,100,0,18.18181818,100,100,25,66.66666667,80,57.14285714,0,0,75,50,0,50,72.72727273,66.66666667,0,66.66666667,60,61.53846154,0
4,131,25,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,46.15384615,25,0
4,132,0,0,0,0,0,100,100,33.33333333,100,0,0,55.55555556,33.33333333,100,100,41.66666667,100,60,100,50,62.5,100,100,75,40,75,100,100,66.66666667,100,88.88888889,0,100,87.5,87.5,0,75,85.71428571,72.72727273,0,50,100,100,0
4,133,0,0,0,0,0,0,0,0,0,0,0,0,0,66.66666667,100,0,0,0,50,0,0,0,0,0,0,100,0,0,33.33333333,0,0,0,0,50,20,0,42.85714286,71.42857143,60,0,0,68.75,50,11.76470588
4,134,0,100,0,0,100,0,33.33333333,20,50,66.66666667,100,71.42857143,0,0,0,50,0,100,0,0,75,0,100,0,66.66666667,100,0,25,50,100,100,50,42.85714286,100,75,0,50,100,100,25,53.33333333,95.23809524,70,100
4,135,100,0,50,0,33.33333333,14.28571429,0,0,16.66666667,0,71.42857143,12.5,10,50,50,0,16.66666667,100,75,0,0,66.66666667,66.66666667,0,16.66666667,60,0,0,0,66.66666667,14.28571429,0,0,66.66666667,66.66666667,0,0,0,33.33333333,0,0,100,100,0
4,136,60,0,71.42857143,13.33333333,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,30,100,50,20,0,0,0,0,0,0,0,0,100,100,100,50,0,100,0,0,35.29411765,83.33333333,79.31034483,33.33333333
4,137,0,0,33.33333333,10,40,71.42857143,50,50,25,60,57.14285714,25,0,66.66666667,50,0,33.33333333,33.33333333,66.66666667,0,100,66.66666667,50,0,50,50,100,0,40,60,33.33333333,0,66.66666667,100,100,42.85714286,0,100,33.33333333,100,0,100,100,0
4,138,0,0,0,20,0,66.66666667,0,6.666666667,0,0,0,0,0,0,50,66.66666667,0,0,0,50,50,0,0,50,0,50,50,66.66666667,0,66.66666667,0,0,50,75,57.14285714,0,45.45454545,90,54.54545455,50,27.27272727,88.88888889,70,50
4,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.66666667,0,50,33.33333333,50,42.85714286,0,0,0,0,50,33.33333333,0,57.14285714,0,0,0,0,33.33333333,0,0,42.10526316,25,0
4,141,0,0,0,0,0,0,50,0,0,0,16.66666667,0,0,100,25,0,0,50,0,0,50,71.42857143,0,0,0,40,0,0,0,50,33.33333333,20,0,57.14285714,0,0,33.33333333,66.66666667,100,50,0,66.66666667,66.66666667,0
4,142,0,0,0,0,0,100,0,0,0,0,0,33.33333333,0,50,0,0,50,0,0,0,75,50,33.33333333,9.090909091,0,100,25,0,25,75,66.66666667,0,16.66666667,83.33333333,66.66666667,0,33.33333333,77.77777778,33.33333333,0,61.53846154,100,64.70588235,0
4,143,0,50,0,0,0,25,33.33333333,0,0,0,0,0,20,50,0,0,0,20,0,0,0,40,0,0,50,0,20,0,0,75,25,0,28.57142857,25,50,0,0,50,33.33333333,0,0,0,0,0
4,144,50,33.33333333,100,0,42.85714286,0,0,0,0,0,0,33.33333333,100,0,0,0,50,100,100,0,12.5,100,80,0,0,66.66666667,66.66666667,0,100,83.33333333,0,100,0,83.33333333,50,0,0,66.66666667,66.66666667,0,33.33333333,66.66666667,66.66666667,0
4,145,0,14.28571429,0,0,0,0,0,0,0,0,0,0,40,80,0,0,0,100,0,0,16.66666667,75,66.66666667,0,0,100,100,0,100,100,60,0,0,88.88888889,42.85714286,0,0,100,75,0,50,71.42857143,63.63636364,0
4,146,0,0,0,0,33.33333333,50,0,0,0,100,0,33.33333333,66.66666667,100,0,50,57.14285714,0,100,14.28571429,50,87.5,87.5,33.33333333,50,100,66.66666667,0,50,100,100,40,25,100,75,0,100,100,100,0,42.85714286,92.30769231,85.71428571,0
4,147,0,0,0,0,100,100,100,0,44.44444444,85.71428571,87.5,30.43478261,36,80.76923077,96.42857143,43.75,25,50,100,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,148,0,0,0,0,33.33333333,0,100,0,50,25,100,8.333333333,0,100,0,0,0,40,100,0,33.33333333,50,50,0,0,33.33333333,45.45454545,0,20,66.66666667,87.5,0,100,33.33333333,66.66666667,0,0,0,0,0,0,0,0,0
4,150,0,0,0,40,0,0,0,0,0,0,0,25,100,100,100,0,33.33333333,66.66666667,100,0,16.66666667,83.33333333,100,0,100,100,60,0,50,100,100,0,66.66666667,75,80,0,0,100,80,25,54.54545455,72.72727273,78.57142857,50
4,151,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.52631579,36.36363636,21.875,0
4,152,0,100,50,0,15.38461538,58.33333333,14.28571429,0,0,0,0,0,0,33.33333333,50,0,0,100,100,0,50,60,50,0,0,100,60,0,100,0,50,0,40,0,75,0,0,57.14285714,16.66666667,0,0,0,0,0
4,153,0,0,0,14.28571429,0,0,0,0,0,0,0,33.33333333,0,100,0,0,0,100,0,0,25,100,75,0,36.36363636,100,80,0,66.66666667,87.5,55.55555556,0,56.25,80.95238095,66.66666667,0,0,100,80,0,0,0,0,0
4,154,0,75,50,0,14.28571429,66.66666667,16.66666667,6.25,0,50,60,0,30,100,42.85714286,0,40,100,25,0,0,75,37.5,0,0,75,50,0,33.33333333,75,33.33333333,0,50,75,100,0,100,0,100,0,100,0,0,0
4,(blank),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,(blank),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
